Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Status,Effective Month,Effective Year,Current Month,Current Year,Associated with Combined Heat and Power System,Sector Name,Sector,Previously Canceled,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Turbines or Hydrokinetic Buoys,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Solid Fuel Gasification System?,Carbon Capture Technology?,Multiple Fuels?,Switch Between Oil and Natural Gas?,Cofire Fuels?
61466,"Bakersfield Fuel Cell 1, LLC",61845,Bolthouse Farms Fuel Cell,CA,Kern,MM29,Other Natural Gas,FC,,S,X,X,,,2.5, ,2.5,2.5,P,7,2019,7,2019,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,,,
61467,"Central CA Fuel Cell 2, LLC",61846,Tulare WWTP BioMat Fuel Cell,CA,Tulare,MM27,Other Natural Gas,FC,,S,X,X,,,2.8, ,2.8,2.8,P,2,2019,2,2019,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,,,
60584,Onyx Asset Services Group,61847,Broadalbin,NY,Fulton,10046,Solar Photovoltaic,PV,,W,X,X,,,2.0, ,2.0,2.0,T,4,2018,4,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
57081,"WGL Energy Systems, Inc",61849,Danville,VA,Pittsylvania,SO291,Solar Photovoltaic,PV,,S,X,X,,,6.0, ,6.0,6.0,V,3,2018,3,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61477,325MK 8me LLC,61852,Eagle Shadow Mountain Solar Farm,NV,Clark,ESMSF,Solar Photovoltaic,PV,,S,X,X,,,300.0, ,300.0,300.0,P,12,2021,12,2021,N,IPP Non-CHP,2,,SUN,,,,,, ,,,,,,,,,,,,
61474,Baker City Solar,61854,Baker City Solar,OR,Baker,BAKER,Solar Photovoltaic,PV,,W,N,X,,,15.0, ,15.0,15.0,P,12,2019,12,2019,N,IPP Non-CHP,2,,SUN,,,,,, ,,,,,,,,,,,,
61473,Morgan Solar Center,61855,Morgan Solar Center,OR,Malheur,MORGN,Solar Photovoltaic,PV,,W,N,X,,,3.0, ,3.0,3.0,P,10,2019,10,2019,N,IPP Non-CHP,2,,SUN,,,,,, ,,,,,,,,,,,,
61472,Vale Solar Center,61856,Vale Solar Center,OR,Malheur,VALE,Solar Photovoltaic,PV,,W,N,X,,,3.0, ,3.0,3.0,P,10,2019,10,2019,N,IPP Non-CHP,2,,SUN,,,,,, ,,,,,,,,,,,,
56545,Pattern Operators LP,61858,"Stillwater Wind, LLC",MT,Stillwater,WT,Onshore Wind Turbine,WT,,S,X,X,,,80.0, ,80.0,80.0,V,7,2018,9,2018,N,IPP Non-CHP,2,N,WND,,,,,,31,,,,,,,,,,,,
56545,Pattern Operators LP,61859,Crazy Mountain Wind LLC,MT,Sweet Grass,WT,Onshore Wind Turbine,WT,,S,X,X,,,80.0, ,80.0,80.0,P,9,2019,12,2019,N,IPP Non-CHP,2,N,WND,,,,,,24,,,,,,,,,,,,
61480,Ontario Solar Center,61860,Ontario Solar Center,OR,Malheur,ONTRO,Solar Photovoltaic,PV,,W,,X,,,3.0, ,3.0,3.0,P,12,2019,12,2019,N,IPP Non-CHP,2,,SUN,,,,,, ,,,,,,,,,,,,
61482,"AES ES GILBERT, LLC",61861,AES ES GILBERT,AZ,Maricopa,SRP,Batteries,BA,,S,X,X,,,10.0, ,10.0,10.0,T,12,2018,12,2018,N,IPP Non-CHP,2,,MWH,,,,,, ,,,,,,,,,,,,
61481,Dignity - San Martin,61862,Dignity - San Martin,NV,Clark,PV1,Solar Photovoltaic,PV,,S,X,X,,,1.7, ,1.7,1.7,L,6,2018,5,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
