Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Status,Effective Month,Effective Year,Current Month,Current Year,Associated with Combined Heat and Power System,Sector Name,Sector,Previously Canceled,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Turbines or Hydrokinetic Buoys,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Solid Fuel Gasification System?,Carbon Capture Technology?,Multiple Fuels?,Switch Between Oil and Natural Gas?,Cofire Fuels?
61029,Upper Michigan Energy Resources Company,61391,A.J. Mihm Generating Station,MI,Baraga,M2,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,18.8,0.800,18.3,18.3,V,5,2019,3,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,N,N
61029,Upper Michigan Energy Resources Company,61391,A.J. Mihm Generating Station,MI,Baraga,M3,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,18.8,0.800,18.3,18.3,V,5,2019,3,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,N,N,N,N,N
61029,Upper Michigan Energy Resources Company,61392,F.D. Kuester Generating Station,MI,Marquette,K1,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,18.8,0.800,18.3,18.3,V,5,2019,3,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,N,N
61029,Upper Michigan Energy Resources Company,61392,F.D. Kuester Generating Station,MI,Marquette,K2,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,18.8,0.800,18.3,18.3,V,5,2019,3,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,N,N
61029,Upper Michigan Energy Resources Company,61392,F.D. Kuester Generating Station,MI,Marquette,K3,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,18.8,0.800,18.3,18.3,V,5,2019,3,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,N,N
61029,Upper Michigan Energy Resources Company,61392,F.D. Kuester Generating Station,MI,Marquette,K4,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,18.8,0.800,18.3,18.3,V,5,2019,3,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,N,N
61029,Upper Michigan Energy Resources Company,61392,F.D. Kuester Generating Station,MI,Marquette,K5,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,18.8,0.800,18.3,18.3,V,5,2019,3,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,N,N
61029,Upper Michigan Energy Resources Company,61392,F.D. Kuester Generating Station,MI,Marquette,K6,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,18.8,0.800,18.3,18.3,V,5,2019,3,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,N,N
61029,Upper Michigan Energy Resources Company,61392,F.D. Kuester Generating Station,MI,Marquette,K7,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,18.8,0.800,18.3,18.3,V,5,2019,3,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,N,N,N,N,N
61033,"Boswell Wind Project I, LLC",61393,Boswell Wind I,WY,Albany,BOSW1,Onshore Wind Turbine,WT,,S,X,X,,,80.0, ,80.0,80.0,P,1,2021,1,2021,N,IPP Non-CHP,2,N,WND,,,,,,35,,,,,,,,N,N,N,,
